,HVAC Heating Type,ASHRAE IECC Climate Zone 2004,Vintage,Geometry Building Type RECS,Heating Fuel,Windows,Water Heater Fuel,HVAC Cooling Type,HVAC Heating Type And Fuel,Infiltration,City
242,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"MI, Detroit"
243,Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Natural Gas Fuel Furnace,30 ACH50,"NC, Greensboro"
244,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,30 ACH50,"GA, Macon"
247,Ducted Heating,2A,1980s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Natural Gas,Central AC,Electricity Electric Furnace,10 ACH50,"FL, Palm Harbor"
248,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,40 ACH50,"IN, Gary"
249,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"AL, Birmingham"
251,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Furnace,7 ACH50,"IL, Chicago"
252,Ducted Heating,6B,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MT, Great Falls"
256,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"CA, Fresno"
260,Ducted Heating,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, St Petersburg"
262,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"MI, Livonia"
263,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"NC, Asheville"
265,Ducted Heating,3B,1980s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,10 ACH50,"CA, Lancaster"
268,Ducted Heating,3B,2000s,Multi-Family with 5+ Units,Electricity,"Double, Clear, Metal, Air",Natural Gas,Central AC,Electricity Electric Furnace,15 ACH50,"CA, San Diego"
269,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,3 ACH50,"CA, Hemet"
270,Ducted Heating,4A,1950s,Multi-Family with 5+ Units,Fuel Oil,"Single, Clear, Metal",Fuel Oil,Central AC,Fuel Oil Fuel Furnace,25 ACH50,"NY, New York"
271,Ducted Heating,5B,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"CO, Denver"
273,Ducted Heat Pump,3A,1970s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Heat Pump,Electricity ASHP,15 ACH50,"TN, Memphis"
274,Non-Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Boiler,25 ACH50,"CA, Bakersfield"
275,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Boiler,50 ACH50,"NY, New Rochelle"
277,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Furnace,7 ACH50,"OH, Springfield"
278,Non-Ducted Heating,6A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"MN, Maplewood"
280,Ducted Heat Pump,2A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Heat Pump,Electricity ASHP,10 ACH50,"FL, Port St Lucie"
282,Non-Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,25 ACH50,"CA, Anaheim"
283,Ducted Heat Pump,4A,1970s,Multi-Family with 5+ Units,Electricity,"Double, Clear, Metal, Air",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"VA, Alexandria"
285,Ducted Heating,2A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Beaumont"
287,Ducted Heating,6A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MN, St Louis Park"
288,Non-Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Boiler,50 ACH50,"KS, Wichita"
290,Ducted Heating,2A,1980s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, Palm Bay"
292,Ducted Heating,2B,1970s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"AZ, Sun City"
293,Ducted Heating,5B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,2 ACH50,"NV, Sparks"
295,Ducted Heat Pump,2B,1970s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"AZ, Scottsdale"
296,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Wall/Floor Furnace,20 ACH50,"CT, Bridgeport"
299,Non-Ducted Heating,7A,1970s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"ND, Fargo"
301,Ducted Heating,2B,2000s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"AZ, Yuma"
302,Ducted Heating,3B,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"CA, Costa Mesa"
304,Ducted Heating,4A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"VA, Newport News"
308,Ducted Heating,6A,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MN, Plymouth"
309,Ducted Heating,5B,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"UT, Orem"
310,Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Fuel Oil,"Double, Clear, Metal, Air",Natural Gas,Room AC,Fuel Oil Shared Heating,50 ACH50,"NY, New York"
312,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,20 ACH50,"IA, Cedar Rapids"
313,Ducted Heating,5A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"IN, Fort Wayne"
315,Non-Ducted Heating,4A,1950s,Multi-Family with 5+ Units,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Boiler,40 ACH50,"NY, New York"
316,Ducted Heating,5A,1950s,Single-Family Detached,Fuel Oil,"Double, Clear, Metal, Air",Propane,Room AC,Fuel Oil Fuel Furnace,20 ACH50,"MA, Framingham"
317,Ducted Heating,3B,1980s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Lodi"
318,Ducted Heat Pump,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,20 ACH50,"FL, West Palm Beach"
320,Ducted Heating,6B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MT, Billings"
325,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,30 ACH50,"MA, Springfield"
326,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Boiler,30 ACH50,"IL, Springfield"
327,Ducted Heating,4A,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,25 ACH50,"KY, Louisville Jefferson County Metro Government Balance"
328,Ducted Heat Pump,2B,1990s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Propane,Heat Pump,Electricity ASHP,15 ACH50,"AZ, Glendale"
331,Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Shared Heating,20 ACH50,"NY, New York"
332,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"MI, Flint"
336,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,8 ACH50,"IL, Chicago"
338,Non-Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,30 ACH50,"CA, San Diego"
340,Non-Ducted Heating,3B,1940s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CA, Los Angeles"
342,Ducted Heating,2B,2000s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Natural Gas,Central AC,Electricity Electric Furnace,6 ACH50,"AZ, Mesa"
344,Non-Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Shared Heating,40 ACH50,"NY, New York"
345,Ducted Heating,2A,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,30 ACH50,"TX, San Antonio"
346,Non-Ducted Heating,4A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Electricity,Room AC,Natural Gas Fuel Wall/Floor Furnace,6 ACH50,"NC, Durham"
347,Non-Ducted Heating,5A,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Room AC,Natural Gas Fuel Boiler,25 ACH50,"NE, Omaha"
350,Non-Ducted Heating,6B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Boiler,5 ACH50,"WY, Cheyenne"
351,Ducted Heating,5A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,10 ACH50,"IL, Chicago"
352,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Furnace,25 ACH50,"IL, Rockford"
354,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,30 ACH50,"TN, Nashville-Davidson Metropolitan Government Balance"
356,Ducted Heating,3C,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CA, San Francisco"
359,Ducted Heat Pump,1A,1960s,Single-Family Detached,Electricity,"Single, Clear, Metal",Natural Gas,Heat Pump,Electricity ASHP,20 ACH50,"FL, Hollywood"
360,Ducted Heating,3A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,6 ACH50,"SC, Rock Hill"
361,Ducted Heating,4A,2000s,Multi-Family with 5+ Units,Electricity,"Double, Clear, Non-metal, Air",Electricity,Central AC,Electricity Electric Furnace,10 ACH50,"NJ, Jersey City"
362,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,2 ACH50,"NV, Henderson"
363,Ducted Heat Pump,2B,2000s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,5 ACH50,"AZ, San Tan Valley"
365,Ducted Heating,2A,1970s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, Gainesville"
367,Ducted Heating,3A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,6 ACH50,"OK, Oklahoma City"
369,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,40 ACH50,"OH, Parma"
371,Ducted Heating,4A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"TN, Franklin"
372,Ducted Heating,3A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,3 ACH50,"TX, Mckinney"
373,Non-Ducted Heating,3B,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CA, Westminster"
374,Ducted Heating,5B,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"NV, Reno"
375,Ducted Heating,3A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"TX, Frisco"
376,Ducted Heating,2A,2010s,Multi-Family with 5+ Units,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"TX, Houston"
377,Ducted Heating,2A,2000s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,8 ACH50,"MS, Gulfport"
378,Non-Ducted Heating,5A,<1940,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Shared Heating,20 ACH50,"IL, Chicago"
380,Ducted Heating,4A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MO, Columbia"
382,Ducted Heating,3C,<1940,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Shared Heating,20 ACH50,"CA, San Francisco"
385,Ducted Heating,3A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"NC, Charlotte"
387,Ducted Heating,3A,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"TN, Memphis"
390,Ducted Heating,4A,1990s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Natural Gas Fuel Furnace,15 ACH50,"NC, Cary"
392,Non-Ducted Heating,5A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Boiler,15 ACH50,"OH, Columbus"
393,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"IL, Peoria"
395,Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Fort Worth"
396,Ducted Heating,6A,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MN, Burnsville"
397,Ducted Heating,6A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"WI, Milwaukee"
398,Ducted Heating,2A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,25 ACH50,"TX, Austin"
401,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,4 ACH50,"CA, Davis"
402,Non-Ducted Heating,4A,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Boiler,6 ACH50,"IN, Bloomington"
403,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Shared Heating,30 ACH50,"NY, New York"
404,Ducted Heating,1A,1960s,Single-Family Detached,Electricity,"Single, Clear, Metal",Natural Gas,Central AC,Electricity Electric Furnace,20 ACH50,"FL, Deerfield Beach"
405,Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Triple, Low-E, Non-metal, Air, L-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,30 ACH50,"NY, New York"
408,Ducted Heating,5A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Furnace,40 ACH50,"IL, Chicago"
415,Ducted Heating,3A,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"AL, Montgomery"
418,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,25 ACH50,"NY, New York"
420,Ducted Heating,3B,1970s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Irvine"
421,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,20 ACH50,"MO, Kansas City"
423,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"OH, Toledo"
424,Ducted Heating,2B,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"AZ, Catalina Foothills"
425,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,30 ACH50,"OH, Mansfield"
426,Ducted Heating,2A,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Austin"
427,Ducted Heating,5A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MI, Warren"
429,Ducted Heating,3A,1980s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,20 ACH50,"TX, Arlington"
430,Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"CA, Glendale"
433,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Boiler,15 ACH50,"MI, Kalamazoo"
434,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"CA, Los Angeles"
435,Ducted Heat Pump,1A,1970s,Multi-Family with 5+ Units,Electricity,"Single, Clear, Metal",Natural Gas,Heat Pump,Electricity ASHP,20 ACH50,"FL, Aventura"
436,Ducted Heating,5B,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CO, Lakewood"
437,Non-Ducted Heating,4A,1980s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Baseboard,15 ACH50,"MD, Rockville"
438,Non-Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,30 ACH50,"VA, Norfolk"
440,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,8 ACH50,"NY, Buffalo"
445,Ducted Heating,4A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,8 ACH50,"NC, Winston-Salem"
446,Non-Ducted Heating,5A,1950s,Single-Family Detached,Fuel Oil,"Single, Clear, Non-metal",Fuel Oil,Room AC,Fuel Oil Fuel Boiler,20 ACH50,"CT, Norwalk"
448,Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"WI, La Crosse"
449,Ducted Heat Pump,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Heat Pump,Electricity ASHP,20 ACH50,"FL, St Petersburg"
450,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Central AC,Natural Gas Fuel Furnace,15 ACH50,"OH, Hamilton"
451,Ducted Heating,4C,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"OR, Portland"
455,Non-Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"WI, Oshkosh"
457,Non-Ducted Heating,3B,<1940,Multi-Family with 5+ Units,Electricity,"Single, Clear, Metal",Natural Gas,None,Electricity Shared Heating,20 ACH50,"CA, Los Angeles"
459,Non-Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,None,Natural Gas Fuel Boiler,15 ACH50,"CA, Los Angeles"
461,Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,4 ACH50,"CA, Los Angeles"
462,Ducted Heat Pump,2B,1980s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Natural Gas,Heat Pump,Electricity ASHP,3 ACH50,"AZ, Mesa"
463,Ducted Heating,3B,1960s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Yorba Linda"
466,Ducted Heat Pump,3A,1980s,Multi-Family with 5+ Units,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"TX, Dallas"
468,Non-Ducted Heating,3B,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Boiler,15 ACH50,"CA, Encinitas"
470,Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"MN, Minneapolis"
471,Ducted Heating,3A,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"OK, Tulsa"
472,Ducted Heating,4B,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Amarillo"
473,Ducted Heat Pump,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Heat Pump,Electricity ASHP,25 ACH50,"FL, Tampa"
474,Ducted Heat Pump,3A,2000s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Heat Pump,Electricity ASHP,3 ACH50,"AL, Huntsville"
475,Ducted Heating,2A,1980s,Single-Family Detached,Electricity,"Single, Clear, Metal",Natural Gas,Central AC,Electricity Electric Furnace,20 ACH50,"FL, Spring Hill"
477,Ducted Heating,3C,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Furnace,20 ACH50,"CA, Thousand Oaks"
478,Non-Ducted Heating,4C,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Room AC,Natural Gas Fuel Wall/Floor Furnace,20 ACH50,"WA, Tacoma"
479,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Boiler,15 ACH50,"MO, Joplin"
482,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,8 ACH50,"TX, El Paso"
484,Ducted Heating,3C,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CA, San Leandro"
486,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,50 ACH50,"NY, Syracuse"
487,Ducted Heating,5B,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"UT, Salt Lake City"
489,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,40 ACH50,"GA, Atlanta"
